"ASV_id","warmed_fungi_gradient","warmed_fungi","cooled_fungi_gradient","cooled_fungi","High Control","Low Control","Mid Control","Genus","Family","Class","Order","Phylum"
442,-0.233805810096406,-0.0252350479546352,0.228562211115058,0.284113898795953,1.7,NA,2.86,NA,NA,"Lecanoromycetes","Lecanorales","Ascomycota"
466,-0.211342058859107,-0.217789876666448,0.223267302146724,0.251485979418672,5.47,5.69,NA,"Archaeorhizomyces","Archaeorhizomycetaceae","Archaeorhizomycetes","Archaeorhizomycetales","Ascomycota"
305,-0.265254947466046,-0.232225207776738,0.22227512400161,NA,5.04,NA,NA,NA,"Extremaceae","Dothideomycetes","Capnodiales","Ascomycota"
519,-0.225022006436494,-0.100898121809844,0.221337837426074,0.0704656432689058,2.26,3,2.64,NA,NA,"Sordariomycetes",NA,"Ascomycota"
370,-0.313300993956528,-0.256705256790851,0.219826328144867,0.0156706855477821,3.82,NA,3.58,"Gliomastix","Bionectriaceae","Sordariomycetes","Hypocreales","Ascomycota"
481,-0.238128451347621,-0.0932306772386939,0.217614502271639,0.117403022349835,4.45,3.71,3.87,"Ramularia","Mycosphaerellaceae","Dothideomycetes","Capnodiales","Ascomycota"
264,-0.150402658791839,-0.00226095653872456,0.216610969200002,-0.148188424975498,3.86,3.22,NA,NA,"Helotiaceae","Leotiomycetes","Helotiales","Ascomycota"
214,-0.220116493834707,-0.0401245635809021,0.216127118324686,0.587277511146212,3.34,NA,4.38,"Gyoerffyella","Hyaloscyphaceae","Leotiomycetes","Helotiales","Ascomycota"
515,-0.301610900847135,-0.194960805113763,0.214668314608606,0.363952986743917,2.93,NA,NA,NA,NA,"Tremellomycetes","Tremellales","Basidiomycota"
213,-0.267172772993318,-0.237030736749059,0.210865343349681,-0.0975560383699679,3.48,NA,NA,"Fontanospora","Helotiaceae","Leotiomycetes","Helotiales","Ascomycota"
