"ASV_id","warmed_bacteria_gradient","warmed_bacteria","cooled_bacteria_gradient","cooled_bacteria","High Control","Low Control","Mid Control","Genus","Family","Phylum","Class","Order"
"123",-0.42,-0.3,0.35,-0.33,3.43,2.85,3.3,NA,"Gemmataceae","Planctomycetota","Planctomycetes","Gemmatales"
"359",-0.26,-0.08,0.35,-0.29,3.65,2.3,4.06,"Acidibacter","Unknown Family","Proteobacteria","Gammaproteobacteria","Gammaproteobacteria Incertae Sedis"
"935",-0.34,-0.34,0.35,-0.38,3.31,2.08,3.47,"Niastella","Chitinophagaceae","Bacteroidota","Bacteroidia","Chitinophagales"
"1091",-0.31,-0.18,0.35,-0.24,4.14,4.36,4.79,NA,NA,"Acidobacteria","Vicinamibacteria","Vicinamibacterales"
"1654",-0.22,-0.13,0.35,-0.09,3.37,NA,3.63,NA,NA,"Chloroflexi","KD4-96",NA
"1662",-0.28,-0.03,0.34,-0.4,3.34,2.09,2.66,NA,NA,"Chloroflexi","P2-11E",NA
"1158",-0.47,-0.37,0.34,-0.27,3.19,3.14,3.03,"Candidatus Solibacter","Solibacteraceae","Acidobacteria","Acidobacteriae","Solibacterales"
"464",-0.18,-0.05,0.34,-0.17,3.17,2.54,3.01,"Candidatus Xiphinematobacter","Xiphinematobacteraceae","Verrucomicrobiota","Verrucomicrobiae","Chthoniobacterales"
"1087",-0.14,0.09,0.34,-0.08,3.61,NA,3.9,NA,NA,"Acidobacteria","Vicinamibacteria","Vicinamibacterales"
"608",-0.28,-0.13,0.34,-0.17,3.32,2.94,3.45,NA,NA,"Proteobacteria","Alphaproteobacteria","Elsterales"
"21",-0.35,-0.32,0.34,-0.14,3.29,NA,3.96,NA,NA,"Actinobacteria","MB-A2-108",NA
"576",-0.26,-0.06,0.34,-0.27,3.11,2.86,3.29,NA,"Nitrososphaeraceae","Crenarchaeota","Nitrososphaeria","Nitrososphaerales"
"56",-0.35,-0.26,0.34,-0.44,4.65,4.13,4.52,NA,NA,"Methylomirabilota","Methylomirabilia","Rokubacteriales"
"1031",-0.43,-0.4,0.34,-0.38,3.68,NA,NA,NA,NA,"Latescibacterota",NA,NA
"1480",-0.23,-0.06,0.34,-0.11,3.6,3.81,4.04,NA,"Sporichthyaceae","Actinobacteria","Actinobacteria","Frankiales"
"927",-0.14,-0.08,0.34,-0.14,3.81,NA,NA,"Terrimonas","Chitinophagaceae","Bacteroidota","Bacteroidia","Chitinophagales"
"1001",-0.5,-0.44,0.34,-0.29,3.84,NA,3.83,NA,"Gemmatimonadaceae","Gemmatimonadota","Gemmatimonadetes","Gemmatimonadales"
"647",-0.14,0.01,0.34,-0.34,4.22,4.12,4.46,"Afipia","Xanthobacteraceae","Proteobacteria","Alphaproteobacteria","Rhizobiales"
"1000",-0.24,-0.01,0.34,-0.12,3.12,NA,3.5,"Gemmatimonas","Gemmatimonadaceae","Gemmatimonadota","Gemmatimonadetes","Gemmatimonadales"
"115",-0.18,-0.05,0.34,-0.24,3.42,NA,3.49,"Zavarzinella","Gemmataceae","Planctomycetota","Planctomycetes","Gemmatales"
"1310",-0.3,-0.21,0.34,-0.09,4.33,NA,5.26,NA,NA,"Actinobacteria","Thermoleophilia","Gaiellales"
"1242",-0.37,-0.2,0.34,-0.42,5.51,4.74,4.92,NA,NA,"Chloroflexi","AD3",NA
"1013",-0.19,-0.07,0.34,-0.14,4.46,4.34,4.08,"Gemmatimonas","Gemmatimonadaceae","Gemmatimonadota","Gemmatimonadetes","Gemmatimonadales"
"1536",-0.26,-0.18,0.34,-0.2,4.3,NA,3.43,NA,"SC-I-84","Proteobacteria","Gammaproteobacteria","Burkholderiales"
"1585",-0.26,-0.27,0.34,-0.14,4.13,NA,4.16,"Mycobacterium","Mycobacteriaceae","Actinobacteria","Actinobacteria","Corynebacteriales"
"505",-0.49,-0.41,0.34,-0.29,5.59,4.85,4.98,"Candidatus Udaeobacter","Chthoniobacteraceae","Verrucomicrobiota","Verrucomicrobiae","Chthoniobacterales"
"409",-0.41,-0.38,0.34,-0.2,3.93,NA,NA,NA,"Pedosphaeraceae","Verrucomicrobiota","Verrucomicrobiae","Pedosphaerales"
"1074",-0.37,-0.36,0.33,0.03,4.08,3.34,4.04,NA,NA,"Acidobacteria","Subgroup 5",NA
"990",-0.51,-0.44,0.33,-0.41,3.58,NA,3.27,NA,"Gemmatimonadaceae","Gemmatimonadota","Gemmatimonadetes","Gemmatimonadales"
"20",-0.31,-0.22,0.33,-0.21,3.73,3.69,3.66,"Acidothermus","Acidothermaceae","Actinobacteria","Actinobacteria","Frankiales"
"563",-0.4,-0.4,0.33,0.06,3.63,NA,NA,"Haliangium","Haliangiaceae","Myxococcota","Polyangia","Haliangiales"
"7",-0.19,-0.02,0.33,-0.14,3.53,2.94,3.21,NA,"Anaerolineaceae","Chloroflexi","Anaerolineae","Anaerolineales"
"1650",-0.28,-0.17,0.33,NA,3.76,NA,3.33,NA,NA,"Acidobacteria","Blastocatellia","11-24"
"930",-0.45,-0.33,0.33,-0.15,3.37,NA,2.54,NA,"Chitinophagaceae","Bacteroidota","Bacteroidia","Chitinophagales"
"1600",-0.19,0,0.33,-0.13,4.13,3.09,3.9,"Kibdelosporangium","Pseudonocardiaceae","Actinobacteria","Actinobacteria","Pseudonocardiales"
"717",-0.16,-0.09,0.33,-0.28,4.35,NA,3.94,"Aminobacter","Rhizobiaceae","Proteobacteria","Alphaproteobacteria","Rhizobiales"
"454",-0.22,-0.18,0.33,-0.08,4.05,NA,NA,"Candidatus Udaeobacter","Chthoniobacteraceae","Verrucomicrobiota","Verrucomicrobiae","Chthoniobacterales"
