"species","warmed_bacteria_gradient","warmed_bacteria","cooled_bacteria_gradient","cooled_bacteria"
"1568",-0.256444744186633,-0.193044407247899,0.251886646440429,-0.159686967248877
"515",0.0329230417660679,0.149168600471631,0.251780578517592,NA
"581",-0.254809053805472,-0.325785694535795,0.251387777021165,-0.246280996659269
"1368",-0.405716413845814,-0.263907242877902,0.251272429864998,-0.366182234598304
"583",-0.32389951726261,-0.157812859872904,0.251049829224679,-0.279248018089349
"1179",-0.287791210525555,-0.1230659703387,0.250736566932173,-0.373459024646532
"145",-0.294352916780571,-0.359436643067397,0.250033499757881,NA
"1351",-0.345049816678828,-0.224904317771798,0.249460125242664,-0.214943136855672
"444",-0.298996763711,-0.279081049172251,0.24875411775755,-0.110756519775673
"571",-0.024242001531401,0.0679529263099889,0.248660398244121,-0.196259958745959
"593",-0.34130336809409,-0.147515256577436,0.247125792037164,-0.369607630087081
"1657",-0.379333309289901,-0.302840394097093,0.24637212739851,-0.23338420492239
"693",-0.187034716172095,-0.121394957351068,0.245428833072439,-0.125017053956033
"372",-0.179201766664009,-0.0404537658408591,0.245337725729927,-0.498322915670316
"158",-0.0804686841148173,0.00425514531572993,0.244304801458408,-0.234136018231031
"774",-0.244969976600361,-0.104207862315697,0.24382398217841,-0.285414658291023
"472",-0.233751589231437,-0.15364362716207,0.243583759495808,-0.159347120219517
"558",-0.212767814860633,-0.158152271108749,0.243526141470627,-0.144899616928277
"137",-0.157271128099857,-0.0816672489115147,0.242973576084632,-0.0757797182283109
"602",-0.284123747980334,-0.281696212851178,0.24259500905082,-0.196426380719972
"658",-0.287940245799863,-0.0658362803488331,0.241550671401622,-0.436415763974303
"306",-0.132707929214217,-0.0619200490750501,0.239778075630745,-0.161664334013219
"763",-0.17754930616126,-0.0915292808127921,0.239241877306433,-0.0757797182283106
"126",-0.171253893079966,-0.0399634853264532,0.238673434489478,-0.149701962268388
"479",-0.215753489859645,-0.10352376564126,0.237581032162855,-0.213213526227056
"776",-0.109737621583944,-0.142501322669883,0.237286128655957,0.0171303994220621
"33",-0.0762261144847372,0.142153348792807,0.23709414865345,-0.195827994624064
"714",-0.211984512280793,-0.135899531164208,0.236715456684845,-0.190119555185989
"1061",-0.151320210674035,0.0208224079060613,0.236508393073181,-0.0505519475185527
"732",-0.354942914188753,-0.311033447887955,0.236501634395827,-0.323497256917219
"245",-0.20627632926605,-0.0120914975043648,0.235648267437182,-0.324193606971759
"429",-0.2551733836273,-0.0969731231258505,0.235100369532123,-0.365909069193157
"1274",-0.07013959997007,-0.00938429332565481,0.234627180882712,-0.114956623507089
"1065",-0.262673749366534,-0.194259164076985,0.233875688773657,-0.234954677929401
"1559",-0.318333357796557,-0.25767184395739,0.23366151683455,-0.263547163158651
"680",-0.215165272943816,-0.152176576648896,0.233455621236581,-0.194558681804044
"1014",-0.0507786678866668,0.146439855716924,0.232683670549269,NA
"833",-0.0779996810911932,0.109057940574948,0.232360415687475,NA
"1328",-0.0543791498992884,0.162171296290643,0.231987697120832,NA
"1016",0.00206846883036258,0.130651352865468,0.231638340312906,-0.142598927164644
"1296",-0.0488153443155311,0.0652666544430312,0.231355603043899,0.0157199105581426
"205",-0.123425265846816,0.0480731950319296,0.231315033155725,-0.0847697268927844
"923",-0.129345824335511,-0.00790628132773264,0.230680248545398,-0.0150997542976739
"1619",-0.167248246255624,0.0679090173083299,0.230614417404086,-0.333493905355797
"1533",-0.420328216106225,-0.275532283978228,0.230443171977775,-0.391058062137052
"465",-0.140373215545401,0.0563986343468657,0.23033782324745,-0.0732665906287193
"1008",-0.123074025028368,-0.00885600591831934,0.230035800334975,-0.0757797182283124
"271",-0.0658753945495292,0.0406509119211061,0.229669029192615,-0.00656010749527494
"960",-0.181520263109598,NA,0.229666736930314,-0.19959095343251
"1073",-0.386891205333279,-0.285783184348956,0.228890205974542,-0.0747050008111409
"911",-0.14438569817194,-0.0921570859658433,0.228243874349671,-0.0637938169705132
"648",-0.0858095135130174,-0.04148736301497,0.228235928547128,-0.133368254598743
"1285",-0.0687243996610585,0.0949213648552415,0.225811823361593,NA
"192",-0.282419899957408,-0.186970776044976,0.225739140495103,-0.24358027043508
"1383",-0.112995475327546,-0.0490815036723984,0.225622521438756,0.0457374799051541
