"ASV_id","High Control","Low Control","Mid Control"
"498",3.53,3.82,4.16
"499",NA,4.61,NA
"500",NA,3.75,NA
"501",NA,4.48,NA
"502",NA,3.6,3.91
"503",4.55,4.71,4.28
"504",3.74,NA,3.93
"505",5.59,4.85,4.98
"506",NA,3.91,NA
"507",4.38,4.2,5
"508",4.33,4.87,4.55
"509",3.71,3.81,4.26
"510",3.84,4.25,4.08
"511",4.52,4.9,4.28
"512",4.7,4.66,4.18
"513",4.32,3.74,4.29
"514",3.66,3.61,3.76
"515",3.64,NA,4.42
"516",4.34,4.2,4.07
"517",4.83,5.13,4.73
"518",3.99,NA,4.48
"519",5.42,4.72,5.13
"521",3.61,3.19,3.41
"522",4.05,NA,3.43
"523",4.76,5.25,4.42
"524",3.78,3.61,4.55
"525",5.81,5.15,5.29
"526",5.33,4.94,4.81
"527",3.58,3.83,3.62
"528",3.45,3.17,3.19
"529",4.42,NA,4.1
"530",NA,4.01,NA
"531",3.91,4.23,3.7
"532",4.81,4.98,4.07
"533",3.99,4,4.17
"534",3.3,3.04,3.1
"535",3.56,3.85,NA
"536",NA,3.1,NA
"537",3.93,3.32,3.79
"538",NA,3.34,NA
"539",3.11,2.76,3.32
"540",3.88,3.74,4.1
"541",3.93,NA,3.55
"542",4.31,3.89,4.28
"543",3.87,3.5,4.2
"544",3.68,NA,NA
"545",2.89,2.82,2.97
"546",3.15,2.92,3.23
"547",2.93,3.22,2.58
"548",4.03,NA,2.78
"549",3.56,3.69,3.36
"550",3.87,3.47,4.41
"551",4.99,3.91,4.47
"552",3.52,3.35,3
"553",5.48,5.25,5.23
"554",4.02,3.95,4.42
"555",4.31,3.43,4.03
"556",3.47,3.4,3.78
"557",NA,3.4,3.18
"558",3.41,3.04,3.45
"559",3.53,3.37,4.26
"560",NA,NA,3.4
"561",NA,3.45,3.85
"562",3.27,NA,3.26
"563",3.63,NA,NA
"564",3.32,2.26,2.79
"565",3.26,NA,NA
"566",NA,3.59,4.26
"567",3.84,3.34,3.92
"568",3.56,3.36,3.54
"569",NA,NA,3.7
"570",3.71,3.08,3.33
"571",3.26,NA,3.4
"572",NA,2.77,NA
"573",3.21,3.39,3.73
"574",3.57,3.83,4.43
"575",2.56,2.75,3.23
"576",3.11,2.86,3.29
