community,ASV_id,LogAbundance_HighControl,LogAbundance_MidControl,LogAbundance_LowControl,weight_warmed_gradient,weight_warmed_experiment,weight_cooled_gradient,weight_cooled_experiment,Genus,Family,Phylum,Class,Order
bacteria and archaea,454,4.05,NA,NA,-0.22,-0.18,0.33,-0.08,Candidatus Udaeobacter,Chthoniobacteraceae,Verrucomicrobiota,Verrucomicrobiae,Chthoniobacterales
bacteria and archaea,1345,2.86,3.3,3.18,-0.07,0.18,0.33,-0.25,NA,NA,Actinobacteria,Thermoleophilia,Gaiellales
bacteria and archaea,749,3.09,3.43,NA,-0.3,-0.21,0.33,NA,Nordella,Rhizobiales Incertae Sedis,Proteobacteria,Alphaproteobacteria,Rhizobiales
bacteria and archaea,461,3.35,3.43,NA,-0.34,-0.26,0.33,0.09,NA,Verrucomicrobiaceae,Verrucomicrobiota,Verrucomicrobiae,Verrucomicrobiales
bacteria and archaea,1549,3.71,3.43,3.33,-0.24,-0.14,0.33,-0.06,NA,A21b,Proteobacteria,Gammaproteobacteria,Burkholderiales
bacteria and archaea,1258,3.68,4.38,NA,-0.21,-0.11,0.33,NA,Conexibacter,Solirubrobacteraceae,Actinobacteria,Thermoleophilia,Solirubrobacterales
bacteria and archaea,1163,3.97,3.63,3.94,-0.3,-0.17,0.33,-0.35,Candidatus Solibacter,Solibacteraceae,Acidobacteria,Acidobacteriae,Solibacterales
bacteria and archaea,413,3.79,3.33,NA,-0.34,-0.24,0.33,-0.2,NA,Pedosphaeraceae,Verrucomicrobiota,Verrucomicrobiae,Pedosphaerales
bacteria and archaea,1119,3.98,3.86,3.74,-0.47,-0.4,0.33,-0.32,NA,NA,Acidobacteria,Vicinamibacteria,Vicinamibacterales
bacteria and archaea,1641,3.35,4.14,NA,-0.19,-0.07,0.33,NA,NA,NA,Chloroflexi,Dehalococcoidia,S085
bacteria and archaea,79,3.66,3.96,3.13,-0.3,-0.15,0.33,-0.01,NA,BIrii41,Myxococcota,Polyangia,Polyangiales
bacteria and archaea,584,4.32,4.3,NA,-0.35,-0.2,0.33,-0.24,NA,NA,Planctomycetota,Planctomycetes,Planctomycetales
