Community,Taxon ID,Taxon name,Phylum,Family,Control measure,High control,Mid control,Low control,Warmed gradient PRC weight,Warmed experiment PRC weight,Cooled gradient PRC weight,Cooled experiment PRC weight,Selected among top 15 for
Fungi,380,Metarhizium,Ascomycota,Clavicipitaceae,Mean log-transformed abundance,NA,2.33,4.09,0.61,0.46,-0.68,-0.38,Warmed gradient; Cooled gradient
Fungi,655,Mortierella,Mortierellomycota,Mortierellaceae,Mean log-transformed abundance,1.59,4.14,5.69,0.59,0.45,-0.68,-0.45,Warmed gradient; Cooled gradient
Fungi,349,Tetracladium,Ascomycota,Helotiaceae,Mean log-transformed abundance,4.04,4.06,4,-0.01,0.2,0.14,0.63,Cooled experiment
Fungi,591,Westerdykella,Ascomycota,Sporormiaceae,Mean log-transformed abundance,NA,NA,3.83,0.58,0.52,-0.62,-0.44,Warmed gradient; Warmed experiment; Cooled gradient
Fungi,480,Acremonium,Ascomycota,Hypocreales_fam_Incertae_sedis,Mean log-transformed abundance,NA,NA,3.17,0.62,0.33,-0.56,-0.38,Warmed gradient
Fungi,605,NA,Ascomycota,NA,Mean log-transformed abundance,3.1,2.85,2.07,-0.52,-0.17,0.61,0.51,Cooled gradient
Fungi,527,Saitozyma,Basidiomycota,Trimorphomycetaceae,Mean log-transformed abundance,1.58,4.09,4.58,0.48,0.37,-0.61,-0.45,Cooled gradient
Fungi,479,NA,NA,NA,Mean log-transformed abundance,1.61,2.01,3.3,0.59,0.46,-0.61,-0.52,Warmed gradient; Cooled gradient
Fungi,403,NA,Ascomycota,NA,Mean log-transformed abundance,NA,1.24,3.36,0.49,0.36,-0.6,-0.34,Cooled gradient
Fungi,420,Ascochyta,Ascomycota,Didymellaceae,Mean log-transformed abundance,2.64,4.47,5.84,0.59,0.51,-0.6,-0.31,Warmed gradient; Cooled gradient
Fungi,281,Archaeorhizomyces,Ascomycota,Archaeorhizomycetaceae,Mean log-transformed abundance,4.98,3.73,NA,-0.42,-0.21,0.5,0.6,Cooled experiment
Fungi,417,Endophoma,Ascomycota,Didymellaceae,Mean log-transformed abundance,5.47,4.34,3.68,-0.55,-0.18,0.54,0.6,Cooled experiment
Fungi,261,Pseudogymnoascus,Ascomycota,Pseudeurotiaceae,Mean log-transformed abundance,NA,NA,3.42,0.52,0.29,-0.59,-0.49,Cooled gradient
Fungi,520,NA,Ascomycota,NA,Mean log-transformed abundance,2.2,2.4,0.69,-0.08,0.14,0.26,0.59,Cooled experiment
Fungi,68,Humicola,Ascomycota,Chaetomiaceae,Mean log-transformed abundance,3.09,3.13,5.56,0.52,0.4,-0.59,-0.39,Cooled gradient
Fungi,184,NA,Ascomycota,NA,Mean log-transformed abundance,4.89,NA,NA,-0.59,-0.55,0.53,0.32,Warmed gradient; Warmed experiment
Fungi,214,Gyoerffyella,Ascomycota,Hyaloscyphaceae,Mean log-transformed abundance,3.34,4.38,NA,-0.22,-0.04,0.22,0.59,Cooled experiment
Fungi,346,Tetracladium,Ascomycota,Helotiaceae,Mean log-transformed abundance,4.21,3.69,4.55,-0.58,-0.5,0.54,0.35,Warmed gradient
Fungi,117,NA,Olpidiomycota,Olpidiaceae,Mean log-transformed abundance,3.34,3.4,NA,-0.33,-0.06,0.41,0.57,Cooled experiment
Fungi,355,Laetinaevia,Ascomycota,Dermateaceae,Mean log-transformed abundance,6.66,5.46,5.17,-0.57,-0.39,0.55,0.47,Warmed gradient
Fungi,568,Paraphaeosphaeria,Ascomycota,Didymosphaeriaceae,Mean log-transformed abundance,2.78,3.41,4.57,0.51,0.53,-0.57,-0.33,Warmed experiment; Cooled gradient
Fungi,201,Fontanospora,Ascomycota,Helotiaceae,Mean log-transformed abundance,5.09,4.32,3.98,-0.52,-0.33,0.46,0.56,Cooled experiment
Fungi,640,Clavaria,Basidiomycota,Clavariaceae,Mean log-transformed abundance,3.25,1.39,NA,-0.56,-0.56,0.55,0.12,Warmed gradient; Warmed experiment
Fungi,102,Antennariella,Ascomycota,Capnodiaceae,Mean log-transformed abundance,2.24,4.4,5.35,0.53,0.53,-0.56,-0.13,Warmed experiment
Fungi,146,Naganishia,Basidiomycota,Filobasidiaceae,Mean log-transformed abundance,NA,3.05,3.42,0.47,0.56,-0.43,-0.16,Warmed experiment
Fungi,306,NA,Ascomycota,Extremaceae,Mean log-transformed abundance,3.32,3.82,4.03,-0.25,0.05,0.39,0.56,Cooled experiment
Fungi,469,Archaeorhizomyces,Ascomycota,Archaeorhizomycetaceae,Mean log-transformed abundance,5.34,NA,3.78,-0.49,-0.56,0.49,0.25,Warmed experiment
Fungi,222,NA,Ascomycota,NA,Mean log-transformed abundance,6.83,4.08,5.59,0.48,0.55,-0.53,-0.13,Warmed experiment
Fungi,692,NA,NA,NA,Mean log-transformed abundance,5.67,NA,NA,-0.55,-0.52,0.5,0.29,Warmed gradient; Warmed experiment
Fungi,658,Mortierella,Mortierellomycota,Mortierellaceae,Mean log-transformed abundance,3.33,3.87,2.2,-0.12,0.2,0.24,0.55,Cooled experiment
Fungi,299,NA,Ascomycota,NA,Mean log-transformed abundance,3.55,3.35,4.3,-0.44,-0.22,0.52,0.55,Cooled experiment
Fungi,547,Slooffia,Basidiomycota,Chrysozymaceae,Mean log-transformed abundance,4.08,2.7,NA,-0.06,0.31,0.3,0.54,Cooled experiment
Fungi,357,NA,Ascomycota,NA,Mean log-transformed abundance,NA,2.56,NA,0.11,0.33,0.17,0.54,Cooled experiment
Fungi,319,NA,Ascomycota,Herpotrichiellaceae,Mean log-transformed abundance,3.55,2.42,2.37,-0.42,-0.21,0.52,0.54,Cooled experiment
Fungi,528,NA,Basidiomycota,NA,Mean log-transformed abundance,2.83,3.31,4.46,0.45,0.53,-0.47,-0.12,Warmed experiment
Fungi,405,NA,Ascomycota,Melanommataceae,Mean log-transformed abundance,4.55,2.45,4.04,-0.53,-0.52,0.44,0.45,Warmed experiment
Fungi,596,Preussia,Ascomycota,Sporormiaceae,Mean log-transformed abundance,NA,NA,2.21,0.24,0.52,-0.21,0.25,Warmed experiment
